ticker,company_name,signal_quarter,latest_report_date,probability_bullish,decision_threshold,ml_score,predicted_direction,primary_horizon,primary_probability_bullish,primary_direction,implied_move_pct,prior_abs_one_day_avg_pct,prior_abs_one_week_avg_pct
LLY,ELI LILLY & Co,CY2026Q1,2026-04-30,0.6223,0.5375,16.97,bullish,one_week,0.8139,bullish,,,
PANW,Palo Alto Networks Inc,CY2026Q1,2026-02-17,0.5895,0.5375,10.4,bullish,one_week,0.612,bullish,,,
AAPL,Apple Inc.,CY2026Q1,2026-04-30,0.5787,0.5375,8.23,bullish,one_week,0.684,bullish,,,
DDOG,"Datadog, Inc.",CY2026Q1,2026-05-07,0.5736,0.5375,7.23,bullish,one_week,0.6212,bullish,,,
VRTX,VERTEX PHARMACEUTICALS INC / MA,CY2026Q1,2026-05-04,0.5729,0.5375,7.08,bullish,one_week,0.8172,bullish,,,
WMT,Walmart Inc.,CY2026Q1,2026-02-19,0.5588,0.5375,4.25,bullish,one_week,0.6047,bullish,,,
AMZN,AMAZON COM INC,CY2026Q1,2026-04-29,0.5351,0.5375,-0.49,bearish,one_week,0.6364,bullish,,,
UNH,UNITEDHEALTH GROUP INC,CY2026Q1,2026-04-21,0.535,0.5375,-0.5,bearish,one_week,0.6004,bullish,,,
QCOM,QUALCOMM INC/DE,CY2026Q1,2026-04-29,0.5251,0.5375,-2.49,bearish,one_week,0.6214,bullish,,,
KO,COCA COLA CO,CY2026Q1,2026-04-28,0.5206,0.5375,-3.38,bearish,one_week,0.5535,bearish,,,
ABNB,"Airbnb, Inc.",CY2026Q1,2026-05-07,0.5197,0.5375,-3.55,bearish,one_week,0.6024,bullish,,,
NET,"Cloudflare, Inc.",CY2026Q1,2026-05-07,0.5153,0.5375,-4.45,bearish,one_week,0.6199,bullish,,,
CRWD,"CrowdStrike Holdings, Inc.",CY2026Q1,2026-03-03,0.5044,0.5375,-6.61,bearish,one_week,0.5328,bearish,,,
SNOW,Snowflake Inc.,CY2026Q1,2026-02-25,0.5029,0.5375,-6.92,bearish,one_week,0.5871,bearish,,,
GOOGL,Alphabet Inc.,CY2026Q1,2026-04-29,0.5013,0.5375,-7.24,bearish,one_week,0.5503,bearish,,,
AVGO,Broadcom Inc.,CY2026Q1,2026-03-04,0.4894,0.5375,-9.61,bearish,one_week,0.5906,bearish,,,
V,VISA INC.,CY2026Q1,2026-04-28,0.4894,0.5375,-9.63,bearish,one_week,0.4896,bearish,,,
COST,COSTCO WHOLESALE CORP /NEW,CY2026Q1,2026-03-05,0.4892,0.5375,-9.66,bearish,one_week,0.4676,bearish,,,
AMD,ADVANCED MICRO DEVICES INC,CY2026Q1,2026-05-05,0.4878,0.5375,-9.94,bearish,one_week,0.5756,bearish,,,
PG,PROCTER & GAMBLE Co,CY2026Q1,2026-04-24,0.4833,0.5375,-10.83,bearish,one_week,0.4607,bearish,,,
JPM,JPMORGAN CHASE & CO,CY2026Q1,2026-04-14,0.4802,0.5375,-11.46,bearish,one_week,0.4551,bearish,,,
APP,AppLovin Corp,CY2026Q1,2026-05-06,0.4767,0.5375,-12.16,bearish,one_week,0.5577,bearish,,,
PLTR,Palantir Technologies Inc.,CY2026Q1,2026-05-04,0.4751,0.5375,-12.48,bearish,one_week,0.5633,bearish,,,
SMCI,"Super Micro Computer, Inc.",CY2026Q1,2026-05-05,0.473,0.5375,-12.91,bearish,one_week,0.5913,bearish,,,
MRK,"Merck & Co., Inc.",CY2026Q1,2026-04-30,0.4605,0.5375,-15.4,bearish,one_week,0.4237,bearish,,,
META,"Meta Platforms, Inc.",CY2026Q1,2026-04-29,0.4576,0.5375,-15.97,bearish,one_week,0.5795,bearish,,,
ORCL,ORACLE CORP,CY2026Q1,2026-03-10,0.4507,0.5375,-17.36,bearish,one_week,0.5706,bearish,,,
NOW,"ServiceNow, Inc.",CY2026Q1,2026-04-22,0.4489,0.5375,-17.73,bearish,one_week,0.5455,bearish,,,
ZS,"Zscaler, Inc.",CY2026Q1,2026-02-26,0.4485,0.5375,-17.8,bearish,one_week,0.5055,bearish,,,
DOCN,"DigitalOcean Holdings, Inc.",CY2026Q1,2026-05-05,0.44,0.5375,-19.51,bearish,one_week,0.4469,bearish,,,
MSFT,MICROSOFT CORP,CY2026Q1,2026-04-29,0.4286,0.5375,-21.78,bearish,one_week,0.5117,bearish,,,
NVDA,NVIDIA CORP,CY2026Q1,2026-02-25,0.4269,0.5375,-22.11,bearish,one_week,0.4002,bearish,,,
MCD,MCDONALDS CORP,CY2026Q1,2026-05-07,0.422,0.5375,-23.1,bearish,one_week,0.4227,bearish,,,
CRM,"Salesforce, Inc.",CY2026Q1,2026-02-25,0.4077,0.5375,-25.96,bearish,one_week,0.3731,bearish,,,
AI,"C3.ai, Inc.",CY2026Q1,2026-02-25,0.3913,0.5375,-29.25,bearish,one_week,0.3741,bearish,,,
CMG,CHIPOTLE MEXICAN GRILL INC,CY2026Q1,2026-04-29,0.3884,0.5375,-29.8,bearish,one_week,0.4287,bearish,,,
AMAT,APPLIED MATERIALS INC /DE,CY2026Q1,2026-02-12,0.388,0.5375,-29.9,bearish,one_week,0.389,bearish,,,
XYZ,"Block, Inc.",CY2026Q1,2026-05-07,0.3876,0.5375,-29.98,bearish,one_week,0.4075,bearish,,,
GTLB,Gitlab Inc.,CY2026Q1,2026-03-03,0.3584,0.5375,-35.81,bearish,one_week,0.2549,bearish,,,
MU,MICRON TECHNOLOGY INC,CY2026Q1,2026-03-18,0.3067,0.5375,-46.15,bearish,one_week,0.2808,bearish,,,
