ticker,company_name,latest_quarter,latest_report_date,post_earnings_score,post_earnings_bias,one_week_score,one_week_bias,fundamental_1q_score,fundamental_1q_bias,medium_4q_score,medium_4q_bias,overall_score,overall_bias,ml_probability_bullish,ml_score,ml_direction,final_score,final_signal_scale,final_signal_zone,final_prediction,final_reaction_open_prediction,final_one_day_prediction,final_one_week_prediction,final_one_month_prediction,confidence,latest_eps_surprise_pct,latest_revenue_surprise_pct,latest_guidance_revenue_surprise_pct,latest_guidance_eps_surprise_pct,latest_guidance_revenue_mid_vs_reported_pct,latest_guidance_eps_mid_vs_actual_pct,latest_reaction_open_return_pct,latest_reaction_close_return_pct,latest_one_week_return_pct,latest_one_month_return_pct,latest_revenue_qoq_growth,latest_net_margin,latest_fcf_margin,quarters_with_price_reaction,quarters_with_consensus,quarters_with_guidance,signal_notes
MU,MICRON TECHNOLOGY INC,CY2026Q1,2026-03-18,100,strong_bullish,100,strong_bullish,100,strong_bullish,80.39,strong_bullish,93.46,strong_bullish,0.3067,-46.15,bearish,93.46,0.935,strong_bullish,bullish,bullish,bullish,bullish,bullish,95,39.81,26.24,,,,,-7.96,-3.78,-23.02,-2.88,0.7489,0.5777,,4,5,0,
PANW,Palo Alto Networks Inc,CY2026Q1,2026-02-17,97.47,strong_bullish,93.5,strong_bullish,92.08,strong_bullish,48.89,strong_bullish,81.27,strong_bullish,0.5895,10.4,bullish,81.27,0.813,strong_bullish,bullish,bullish,bullish,bullish,bullish,95,38.78,,11.54,,,16.18,-8.53,-6.82,-11.41,3.82,,,,5,5,2,
LLY,ELI LILLY & Co,CY2026Q1,2026-04-30,82.03,strong_bullish,68.03,strong_bullish,65.11,strong_bullish,52.51,strong_bullish,72.19,strong_bullish,0.6223,16.97,bullish,72.19,0.722,strong_bullish,bullish,bullish,bullish,bullish,bullish,92,21.1,11.11,,,321.74,-100,1.54,3.07,1.48,,0.0263,0.3736,0.1519,5,5,2,
PLTR,Palantir Technologies Inc.,CY2026Q1,2026-05-04,70.8,strong_bullish,69.65,strong_bullish,68.16,strong_bullish,71.21,strong_bullish,70.94,strong_bullish,0.4751,-12.48,bearish,70.94,0.709,strong_bullish,bullish,bullish,bullish,bullish,bullish,91,13.64,6.01,5.88,,10.25,-100,-3.93,-6.93,-6.87,,0.1605,0.5332,0.5462,5,5,2,
GTLB,Gitlab Inc.,CY2026Q1,2026-03-03,66.03,strong_bullish,66.03,strong_bullish,66.03,strong_bullish,47.28,strong_bullish,59.78,strong_bullish,0.3584,-35.81,bearish,59.78,0.598,bullish,bullish,bullish,bullish,bullish,bullish,87,400,3.21,,,,,-11.61,-6.18,-13.26,-15.47,,,,5,5,1,
DDOG,"Datadog, Inc.",CY2026Q1,2026-05-07,62.67,strong_bullish,69.1,strong_bullish,69.42,strong_bullish,44.86,bullish,56.73,strong_bullish,0.5736,7.23,bullish,56.73,0.567,bullish,bullish,bullish,bullish,bullish,bullish,85,183.33,4.82,10.85,41.46,9.3,241.18,-1.71,6.06,10.2,,0.0558,0.0522,0.3212,5,5,2,
GOOGL,Alphabet Inc.,CY2026Q1,2026-04-29,55.43,strong_bullish,47.18,strong_bullish,48.46,strong_bullish,56.51,strong_bullish,55.79,strong_bullish,0.5013,-7.24,bearish,55.79,0.558,bullish,bullish,bullish,bullish,bullish,bullish,85,93.56,2.73,,,,,6.9,9.96,13.73,,-0.0345,0.5694,0.0921,5,5,0,
DOCN,"DigitalOcean Holdings, Inc.",CY2026Q1,2026-05-05,55.63,strong_bullish,45.6,strong_bullish,42.15,bullish,31.07,bullish,47.44,strong_bullish,0.44,-19.51,bearish,47.44,0.474,bullish,bullish,bullish,bullish,bullish,bullish,81,83.33,3.26,,,,,1.41,5.38,4.2,,0.064,0.0612,0.0269,5,5,0,
V,VISA INC.,CY2026Q1,2026-04-28,46.63,strong_bullish,46.37,strong_bullish,50.26,strong_bullish,40.79,bullish,44.68,bullish,0.4894,-9.63,bearish,44.68,0.447,bullish,bullish,bullish,bullish,bullish,bullish,80,7.12,4.47,,,,,8.76,8.26,3.07,,0.0302,0.5362,,5,5,0,
JPM,JPMORGAN CHASE & CO,CY2026Q1,2026-04-14,50.42,strong_bullish,54.75,strong_bullish,59.32,strong_bullish,24.41,bullish,41.75,bullish,0.4802,-11.46,bearish,41.75,0.417,bullish,bullish,bullish,bullish,bullish,bullish,79,8.2,3.18,,,,,0.91,-1.67,0.61,-3.6,0.0882,0.331,,5,5,0,
