ticker,company_name,quarter,currency,revenue,cogs_cost_of_revenue,gross_profit,operating_expenses,operating_income,pretax_income,income_tax_expense,net_income,eps_basic,eps_diluted,consensus_eps_actual,consensus_eps_estimate,consensus_eps_surprise_pct,consensus_revenue_actual,consensus_revenue_estimate,consensus_revenue_surprise_pct,cash_and_equivalents,total_assets,total_liabilities,shareholders_equity,total_debt,operating_cash_flow,capital_expenditures,free_cash_flow,dividends_paid,share_repurchases,gross_margin,operating_margin,net_margin,free_cash_flow_margin,ebitda,revenue_qoq_growth,data_source,sec_filing_date,sec_filing_form,expected_vs_actual_source,expected_vs_actual_note,has_derived_q4_values,guidance_source,guidance_text,guidance_issued_date,guidance_target_period,guidance_revenue_low,guidance_revenue_high,guidance_revenue_mid,guidance_revenue_consensus,guidance_revenue_surprise_pct,guidance_eps_low,guidance_eps_high,guidance_eps_mid,guidance_eps_consensus,guidance_eps_surprise_pct,guidance_leakage_safe,guidance_excluded_reason,guidance_report_date,guidance_revenue_mid_vs_reported_pct,guidance_eps_mid_vs_actual_pct,guidance_cutoff_rule
MSFT,MICROSOFT CORP,CY2025Q1,USD,70066000000,21919000000,48147000000,16147000000,32000000000,31377000000,5553000000,25824000000,3.47,3.46,,,,,,,28828000000,562624000000,240733000000,321891000000,39882000000,37044000000,16745000000,20299000000,6169000000,4781000000,0.6871663859789342,0.456712242742557,0.3685667798932435,0.2897125567322239,,,SEC companyfacts,2026-04-29,10-Q,,,true,,,,,,,,,,,,,,,,,,,,
MSFT,MICROSOFT CORP,CY2025Q2,USD,76441000000,24014000000,52427000000,18104000000,34323000000,32616000000,5383000000,27233000000,,,,,,,,,30242000000,619003000000,275524000000,343479000000,40152000000,42647000000,17079000000,25568000000,6169000000,4546000000,0.6858492170432098,0.44901296424693554,0.3562616920239139,0.3344801873340223,,0.09098564210886878,SEC companyfacts,2025-07-30,10-K,,,true,,,,,,,,,,,,,,,,,,,,
MSFT,MICROSOFT CORP,CY2025Q3,USD,77673000000,24043000000,53630000000,15669000000,37961000000,34301000000,6554000000,27747000000,3.73,3.72,,,,,,,28849000000,636351000000,273275000000,363076000000,35376000000,45057000000,19394000000,25663000000,6169000000,5650000000,0.6904587179586213,0.48872838695557014,0.35722838051832684,0.33039795038172853,,0.016117005272039873,SEC companyfacts,2025-10-29,10-Q,,,false,,,,,,,,,,,,,,,,,,,,
MSFT,MICROSOFT CORP,CY2025Q4,USD,81273000000,25978000000,55295000000,17020000000,38275000000,48246000000,9788000000,38458000000,5.18,5.16,,,,,,,24296000000,665302000000,274427000000,390875000000,35425000000,35758000000,29876000000,5882000000,6762000000,7415000000,0.6803612515841669,0.47094360980891564,0.473195280105324,0.07237335892608862,,0.04634815186744429,SEC companyfacts,2026-01-28,10-Q,,,false,,,,,,,,,,,,,,,,,,,,
MSFT,MICROSOFT CORP,CY2026Q1,USD,82886000000,26828000000,56058000000,17660000000,38398000000,39340000000,7562000000,31778000000,4.28,4.27,,,,,,,32105000000,694228000000,279861000000,414367000000,31423000000,46679000000,30876000000,15803000000,6756000000,4627000000,0.6763265207634582,0.46326279468185216,0.3833940593103781,0.19065945998117897,,0.019846689552495907,SEC companyfacts,2026-04-29,10-Q,,,false,,,,,,,,,,,,,,,,,,,,
AAPL,Apple Inc.,CY2025Q1,USD,95359000000,50492000000,44867000000,15278000000,29589000000,29310000000,4530000000,24780000000,1.65,1.65,,,,,,,28162000000,331233000000,264437000000,66796000000,78566000000,,,,,,0.47050619238876246,0.31029058610094484,0.25986010759341016,,,,SEC companyfacts,2026-05-01,10-Q,,,false,,,,,,,,,,,,,,,,,,,,
AAPL,Apple Inc.,CY2025Q2,USD,94036000000,50318000000,43718000000,15516000000,28202000000,28031000000,4597000000,23434000000,1.57,1.57,,,,,,,36269000000,331495000000,265665000000,65830000000,82430000000,27867000000,3462000000,24405000000,3945000000,21075000000,0.4649070568718363,0.2999064188183249,0.24920243311072354,0.25952826577055593,31032000000,-0.013873887100326136,SEC companyfacts,2025-08-01,10-Q,,,true,,,,,,,,,,,,,,,,,,,,
AAPL,Apple Inc.,CY2025Q3,USD,102466000000,54125000000,48341000000,15914000000,32427000000,32804000000,5338000000,27466000000,,,,,,,,,35934000000,359241000000,285508000000,73733000000,78328000000,29728000000,3242000000,26486000000,3862000000,20132000000,0.47177600374758455,0.3164659496808698,0.2680498897195167,0.2584857416118517,35554000000,0.08964651835467267,SEC companyfacts,2025-10-31,10-K,,,true,,,,,,,,,,,,,,,,,,,,
AAPL,Apple Inc.,CY2025Q4,USD,143756000000,74525000000,69231000000,18379000000,50852000000,51002000000,8905000000,42097000000,2.85,2.84,,,,,,,45317000000,379297000000,291107000000,88190000000,76685000000,53925000000,2373000000,51552000000,3921000000,24701000000,0.4815868555051615,0.35373827875010433,0.292836472912435,0.3586076407245611,54066000000,0.4029629340464154,SEC companyfacts,2026-01-30,10-Q,,,false,,,,,,,,,,,,,,,,,,,,
AAPL,Apple Inc.,CY2026Q1,USD,111184000000,56403000000,54781000000,18896000000,35885000000,35833000000,6255000000,29578000000,2.02,2.01,,,,,,,45572000000,371082000000,264591000000,106491000000,74404000000,,,,,,0.4927057850050367,0.32275327385235286,0.2660274859692042,,,-0.22657836890286318,SEC companyfacts,2026-05-01,10-Q,,,false,,,,,,,,,,,,,,,,,,,,
