ticker,year,quarter,period,audio_sentiment_mean,audio_sentiment_std,audio_sentiment_min,audio_sentiment_max,pause_latency_mean,speech_rate_mean,filler_rate_mean,pitch_mean,energy_mean,n_exchanges
AAPL,2025,1,2025_Q1,-0.0345,0.4789,-0.6141,1.5089,0.3679,0.1505,0.3382,0.4388,-0.4187,19
AAPL,2025,2,2025_Q2,-0.4598,0.3046,-0.6751,-0.2444,-0.4236,-0.3474,-0.3381,-1.0311,-0.7722,2
AAPL,2025,3,2025_Q3,0.0563,0.622,-0.7244,1.5936,-0.2922,-0.0427,-0.2927,-0.0181,-0.1908,15
AAPL,2025,4,2025_Q4,0.0457,0.3276,-0.4457,0.7038,-0.11,-0.0952,-0.0849,-0.3752,0.7727,16
AMZN,2025,1,2025_Q1,0.1526,,0.1526,0.1526,0.083,-0.4559,0.5392,1.173,0.6653,1
AMZN,2025,2,2025_Q2,-0.3094,0.3793,-0.94,0.1847,-0.2932,0.0716,-0.1414,-0.6337,-0.7377,9
AMZN,2025,3,2025_Q3,-0.379,0.3937,-0.8135,0.4757,0.115,-0.0839,0.5623,-0.5506,-0.7502,9
AMZN,2025,4,2025_Q4,0.6043,0.4013,0.0662,1.3112,0.152,0.0566,-0.4327,0.9486,1.2726,10
AVGO,2025,1,2025_Q1,0.226,,0.226,0.226,-0.472,1.4798,-0.9431,0.3543,-1.2045,1
AVGO,2025,2,2025_Q2,-0.3757,0.3092,-0.8068,0.679,-0.0003,-0.081,0.4077,-0.1493,-1.2566,22
AVGO,2025,3,2025_Q3,0.3024,0.6611,-0.6175,2.3979,-0.1437,0.0021,-0.1696,0.1644,0.9964,24
AVGO,2025,4,2025_Q4,0.0392,0.2536,-0.3748,0.6481,0.1964,0.0126,-0.1978,-0.0508,0.2468,20
GOOG,2025,1,2025_Q1,-0.2718,0.1807,-0.5672,-0.0259,-0.3519,-0.4796,-0.0917,-0.6166,0.0093,6
GOOG,2025,2,2025_Q2,-0.1528,0.265,-0.5388,0.1474,-0.5154,0.5472,0.1427,-0.6346,-0.5777,6
GOOG,2025,3,2025_Q3,0.1787,0.3512,-0.4388,0.5214,0.7926,-0.1047,-0.23,1.2215,-0.7183,9
GOOG,2025,4,2025_Q4,0.1566,0.2114,-0.2239,0.374,-0.3217,0.0895,0.294,-0.581,1.6459,6
