metric,horizon_days,n_events,rho
avg_llm_sentiment_score,1,37,-0.010199446645400397
avg_llm_sentiment_score,3,37,-0.07209255436568042
avg_llm_sentiment_score,5,37,0.04298856618618203
avg_llm_sentiment_score,7,37,0.1125941083504755
avg_llm_sentiment_score,10,37,0.1311964052226134
avg_llm_sentiment_score,21,37,0.1290074845343451
avg_llm_risk_intensity_score,1,37,0.0903110361951124
avg_llm_risk_intensity_score,3,37,0.039914337024056556
avg_llm_risk_intensity_score,5,37,-0.04129938139463873
avg_llm_risk_intensity_score,7,37,-0.0567300469455809
avg_llm_risk_intensity_score,10,37,-0.16374064838067703
avg_llm_risk_intensity_score,21,37,-0.3071801048473389
avg_llm_uncertainty_score,1,37,0.16154380058324644
avg_llm_uncertainty_score,3,37,0.17985326362768858
avg_llm_uncertainty_score,5,37,0.06238374325296544
avg_llm_uncertainty_score,7,37,0.010877651688908158
avg_llm_uncertainty_score,10,37,-0.029966093086076822
avg_llm_uncertainty_score,21,37,-0.2032800655500586
pct_negative_or_mixed_turns,1,37,-0.05739173788809779
pct_negative_or_mixed_turns,3,37,0.0008430436503097119
pct_negative_or_mixed_turns,5,37,0.008522766354158669
pct_negative_or_mixed_turns,7,37,-0.06140039781200283
pct_negative_or_mixed_turns,10,37,-0.040279011438972265
pct_negative_or_mixed_turns,21,37,-0.12946309664933936
