topic,horizon_days,n_events,rho_sentiment_vs_excess_return,rho_risk_intensity_vs_excess_return
Apple Intelligence,1,5,-0.9428561965685569,0.8452260670316213
Apple Intelligence,3,5,-0.8731427817073903,0.7914851307514589
Apple Intelligence,5,5,-0.6276169098123249,0.5150634971824255
Apple Intelligence,7,5,-0.520958940728191,0.4673303128222689
Apple Intelligence,10,5,0.0792430155579052,-0.12256876557809815
Apple Intelligence,21,5,0.1538952505791778,-0.1795377026354813
iPhone Lineup,1,5,0.4185728499033537,-0.3110405200674136
iPhone Lineup,3,5,0.8559721548177911,-0.8247762861093277
iPhone Lineup,5,5,0.6974000902350335,-0.8982679323701424
iPhone Lineup,7,5,0.7468664107174342,-0.9183270795699192
iPhone Lineup,10,5,0.3266915853150365,-0.6938594162867213
iPhone Lineup,21,5,0.3456750800394719,-0.6827835015983387
Mac Performance,1,3,-0.2953414112801283,0.704226748905665
Mac Performance,3,3,-0.3020597601317932,0.6992112902391917
Mac Performance,5,3,-0.5004899198392172,0.528626516206073
Mac Performance,7,3,-0.596281860337597,0.4280055224377957
Mac Performance,10,3,-0.9777754536406214,-0.6448843918097678
Mac Performance,21,3,-0.8000095852951351,-0.9057453960520477
iPad Innovations,1,2,-1.0,1.0
iPad Innovations,3,2,-0.9999999999999998,0.9999999999999998
iPad Innovations,5,2,-1.0,0.9999999999999999
iPad Innovations,7,2,-1.0,0.9999999999999998
iPad Innovations,10,2,-1.0,1.0
iPad Innovations,21,2,-0.9999999999999999,0.9999999999999999
Services Growth,1,5,0.2695609889448231,-0.6964478340079083
Services Growth,3,5,-0.07168443103125997,-0.3848760517881898
Services Growth,5,5,-0.5091475938196253,0.03277997867856526
Services Growth,7,5,-0.5207295169336571,0.08746824721123922
Services Growth,10,5,-0.8648320845443198,0.6349288179187058
Services Growth,21,5,-0.8321930501361214,0.6621769857458285
Supply Chain and Manufacturing,1,4,-0.5784253240970846,0.8340226642185357
Supply Chain and Manufacturing,3,4,-0.3446819891223033,0.693801373799439
Supply Chain and Manufacturing,5,4,0.09362298464336247,0.34356486866273583
Supply Chain and Manufacturing,7,4,0.14642122791483578,0.28799877791711914
Supply Chain and Manufacturing,10,4,0.6694316032930157,-0.3805638861164639
Supply Chain and Manufacturing,21,4,0.7355920885819947,-0.4912874005891395
Emerging Market Performance,1,5,0.2083163739542535,-0.6808088915070912
Emerging Market Performance,3,5,0.11887683315280927,-0.30059592981505256
Emerging Market Performance,5,5,0.25744768193243106,-0.03260296440075648
Emerging Market Performance,7,5,0.14328230548802826,0.03694066315614514
Emerging Market Performance,10,5,0.17422803822743516,0.46421092731946073
Emerging Market Performance,21,5,0.1116995553701407,0.5316003682211772
AI and Machine Learning in Products,1,5,-0.40613340912241824,0.2600990384705162
AI and Machine Learning in Products,3,5,-0.82443314423002,0.3641499445776721
AI and Machine Learning in Products,5,5,-0.9863371438012359,0.6600984924472475
AI and Machine Learning in Products,7,5,-0.9909530276307638,0.6296951800308686
AI and Machine Learning in Products,10,5,-0.7958552241956475,0.6680334344795004
AI and Machine Learning in Products,21,5,-0.740647336440466,0.5715743994175821
Guidance / Outlook,1,5,-0.4140968170692928,0.40030325606108624
Guidance / Outlook,3,5,-0.42706164264529906,0.48094537848721813
Guidance / Outlook,5,5,-0.4829229943066691,0.1619028780414156
Guidance / Outlook,7,5,-0.3733427279985038,0.13210112826720447
Guidance / Outlook,10,5,-0.22313736281658056,-0.2840019810200229
Guidance / Outlook,21,5,-0.16113479768396735,-0.25297764552157287
Margins / Profitability,1,4,0.6811416904231387,-0.5484186885673579
Margins / Profitability,3,4,0.4470714966733461,-0.35246914941694896
Margins / Profitability,5,4,0.32866524639326833,-0.21056487615197259
Margins / Profitability,7,4,0.1579956026495488,-0.05743675726149863
Margins / Profitability,10,4,-0.5891273584681987,0.6522287773685448
Margins / Profitability,21,4,-0.6728445480529014,0.6825469819591068
Capital Allocation,1,4,-0.5710759905233393,0.9021571957548664
Capital Allocation,3,4,-0.30806785432595113,0.579676183703024
Capital Allocation,5,4,0.13758277194920465,0.09953116141121703
Capital Allocation,7,4,0.1287536813703979,0.02795557688080467
Capital Allocation,10,4,0.6041724882521102,-0.6182095281510126
Capital Allocation,21,4,0.5760373392268651,-0.6148259361843896
Macro / Demand,1,5,0.01098916768686949,0.41485737077606094
Macro / Demand,3,5,0.5116272873008528,0.04976407931064012
Macro / Demand,5,5,0.4226931379613297,0.07148125360683129
Macro / Demand,7,5,0.5479266466576436,-0.08869862796106782
Macro / Demand,10,5,0.34860427079508366,-0.17022999274768158
Macro / Demand,21,5,0.40935142639339084,-0.25900567472434544
Regulation / Geopolitics,1,4,0.7176061922625393,-0.07441041639954103
Regulation / Geopolitics,3,4,0.14605023092403815,-0.5521292434260221
Regulation / Geopolitics,5,4,0.10736172841979404,-0.36588968006501915
Regulation / Geopolitics,7,4,0.08479782173267443,-0.4513648389834788
Regulation / Geopolitics,10,4,-0.018814420700648506,-0.322720081520946
Regulation / Geopolitics,21,4,-0.08635091983527461,-0.33562804255351525
Other,1,5,,
Other,3,5,,
Other,5,5,,
Other,7,5,,
Other,10,5,,
Other,21,5,,
