primary_topic,sentiment_score,risk_intensity_score,uncertainty_score,confidence_score,guidance_strength_score,finbert_positive,finbert_negative
AI Agent Ecosystem,0.3444,0.2111,0.3222,0.7889,0.4111,0.2079,0.013
AI Infrastructure,0.3882,0.1706,0.2647,0.8235,0.4529,0.3564,0.0142
AI in Advertising,0.27,0.22,0.32,0.77,0.36,0.2592,0.0179
Capital Allocation,0.175,0.25,0.3,0.775,0.5,0.1466,0.0165
Gemini Models,0.4071,0.1357,0.2429,0.8286,0.5143,0.3849,0.0141
Google Cloud Expansion,0.45,0.0667,0.3167,0.8,0.4,0.4596,0.0156
Guidance / Outlook,0.4833,0.3333,0.3333,0.8333,0.5667,0.6142,0.0526
Macro / Demand,0.35,0.0,0.35,0.8,0.25,0.3372,0.0222
Margins / Profitability,0.4333,0.1333,0.2,0.8,0.4333,0.2443,0.0156
Other,0.0,0.0417,0.0417,0.6083,0.0,0.2235,0.0251
Search Innovations,0.4556,0.1056,0.2056,0.8333,0.4889,0.3915,0.0139
Subscription Services,0.4667,0.1333,0.2333,0.8667,0.6667,0.6002,0.012
Waymo Developments,0.7,0.2,0.2,0.8,0.6,0.568,0.0115
YouTube Growth,0.5125,0.125,0.1875,0.8625,0.6375,0.4729,0.029
