period,primary_topic,sentiment_score,risk_intensity_score,uncertainty_score,finbert_positive,finbert_negative
Q1_2026,Advertising Performance,0.2,0.4,0.4,0.4133,0.3256
Q1_2026,Capital Allocation,0.6,0.0,0.1,0.6679,0.2688
Q1_2026,Consumer Electronics Trends,0.6,0.0,0.3,0.6226,0.1051
Q1_2026,Guidance / Outlook,0.1667,0.2167,0.3833,0.4461,0.1506
Q1_2026,Infrastructure Investments,0.3,0.25,0.35,0.5089,0.0091
Q1_2026,Macro / Demand,0.1154,0.2846,0.4462,0.2573,0.1982
Q1_2026,Margins / Profitability,0.0333,0.3,0.3667,0.3354,0.3329
Q1_2026,Market Positioning,0.6,0.0,0.2,0.1123,0.0543
Q1_2026,Other,0.0,0.0,0.0,0.0624,0.208
Q1_2026,Regulatory and Compliance Efforts,0.0,0.2,0.5,0.0571,0.0484
Q3_2024,AI Integration,0.3143,0.2429,0.3643,0.1902,0.0166
Q3_2024,Advertising Performance,0.3,0.15,0.4,0.4391,0.0227
Q3_2024,Guidance / Outlook,0.3,0.35,0.4,0.3526,0.0673
Q3_2024,Infrastructure Investments,0.6,0.2,0.3,0.2818,0.0308
Q3_2024,Monetization Strategies,0.6,0.2,0.3,0.1439,0.013
Q3_2024,Other,0.0,0.0,0.0,0.6425,0.0134
Q3_2024,User Growth Metrics,0.6,0.15,0.25,0.5652,0.0142
Q3_2025,AI Integration,0.31,0.22,0.38,0.1717,0.0152
Q3_2025,Advertising Performance,0.325,0.2,0.325,0.25,0.0127
Q3_2025,Capital Allocation,0.0,0.4,0.5,0.1273,0.0132
Q3_2025,Consumer Electronics Trends,0.15,0.35,0.45,0.1737,0.0185
Q3_2025,Infrastructure Investments,-0.075,0.3,0.45,0.2012,0.0891
Q3_2025,Margins / Profitability,0.0,0.4,0.5,0.0973,0.0165
Q3_2025,Monetization Strategies,0.6,0.1,0.2,0.4601,0.0103
Q3_2025,Other,0.0,0.0,0.0,0.0912,0.0328
Q3_2025,User Growth Metrics,0.75,0.1,0.3,0.6412,0.0314
Q4_2024,AI Integration,0.4091,0.2273,0.3273,0.2777,0.0149
Q4_2024,Advertising Performance,0.35,0.3,0.4,0.1763,0.0214
Q4_2024,Capital Allocation,-0.3,0.5,0.6,0.0623,0.055
Q4_2024,Consumer Electronics Trends,0.2,0.3,0.4,0.1609,0.0189
Q4_2024,Guidance / Outlook,0.0,0.4,0.5,0.0316,0.0574
Q4_2024,Infrastructure Investments,0.0,0.4,0.5,0.4782,0.0139
Q4_2024,Margins / Profitability,0.6,0.3,0.3,0.6303,0.0277
Q4_2024,Monetization Strategies,0.6,0.0,0.2,0.2607,0.0115
Q4_2024,Other,0.0,0.0,0.0,0.6896,0.0133
Q4_2024,Product Innovations,0.6,0.2,0.3,0.1186,0.0191
Q4_2024,Regulatory and Compliance Efforts,0.6,0.1,0.2,0.1559,0.026
Q4_2024,User Growth Metrics,0.4,0.1,0.2,0.1952,0.0103
Q4_2025,AI Integration,0.49,0.23,0.29,0.2488,0.0162
Q4_2025,Advertising Performance,0.35,0.225,0.3,0.654,0.0205
Q4_2025,Content Recommendation Systems,0.3,0.25,0.35,0.2979,0.0129
Q4_2025,Guidance / Outlook,0.6,0.4,0.4,0.3185,0.0191
Q4_2025,Infrastructure Investments,0.25,0.1,0.4,0.3213,0.0131
Q4_2025,Monetization Strategies,0.2,0.2,0.4,0.1313,0.0168
Q4_2025,Other,0.0,0.0,0.0,0.0851,0.0321
Q4_2025,Reality Labs Developments,0.7,0.2,0.2,0.1135,0.0228
Q4_2025,User Growth Metrics,0.7,0.5,0.3,0.8178,0.0427
