topic,horizon_days,n_events,rho_sentiment_vs_excess_return,rho_risk_intensity_vs_excess_return
Microsoft Cloud Growth,1,5,0.5318179282954603,0.16105099803821527
Microsoft Cloud Growth,3,5,0.08349827067324843,0.8493380623031315
Microsoft Cloud Growth,5,5,-0.4282930569672308,0.922209073007696
Microsoft Cloud Growth,7,5,-0.35106550240458534,-0.16996239881439934
Microsoft Cloud Growth,10,5,-0.6098201501453593,0.12734788298933813
Microsoft Cloud Growth,21,5,-0.4007955656516554,0.6718944534471548
AI Integration and Development,1,5,0.7932872629556889,-0.71794004620011
AI Integration and Development,3,5,0.4240328598613174,-0.5672752321311519
AI Integration and Development,5,5,0.5446976201538271,-0.6922638305918084
AI Integration and Development,7,5,0.16466263013781457,0.003307075913012579
AI Integration and Development,10,5,-0.4662958646107585,0.1708563899222678
AI Integration and Development,21,5,0.48643343383529725,-0.6539891345627445
Azure Data Center Expansion,1,3,0.17598022816379474,0.5657016714143585
Azure Data Center Expansion,3,3,-0.9806522014118325,-0.9742666753544263
Azure Data Center Expansion,5,3,-0.9608063521949533,-0.7614285251609665
Azure Data Center Expansion,7,3,0.9177520820521392,0.9998724978978322
Azure Data Center Expansion,10,3,-0.9926704342534707,-0.8548516592396683
Azure Data Center Expansion,21,3,-0.6531852192887813,-0.28346074790790815
Microsoft 365 Copilot Adoption,1,4,0.6548845234239994,-0.39798523856510876
Microsoft 365 Copilot Adoption,3,4,-0.819125446368791,0.4488241105459079
Microsoft 365 Copilot Adoption,5,4,-0.7537718058625865,0.8178453750976123
Microsoft 365 Copilot Adoption,7,4,0.5488622767234288,-0.12000916831298584
Microsoft 365 Copilot Adoption,10,4,-0.5516653636108347,0.8148360875689824
Microsoft 365 Copilot Adoption,21,4,-0.6548718001076625,0.9391996597630639
Guidance / Outlook,1,4,0.2759871162806176,-0.6298793546925368
Guidance / Outlook,3,4,0.5055381551826779,-0.5993336149394054
Guidance / Outlook,5,4,-0.11196041210243633,-0.7722657077978877
Guidance / Outlook,7,4,-0.5178309446229378,0.44653080321926963
Guidance / Outlook,10,4,-0.8345041491562682,-0.12715791689059386
Guidance / Outlook,21,4,-0.4368263293552168,-0.7056164664894746
Margins / Profitability,1,3,-0.9086974382465428,0.41745534578463667
Margins / Profitability,3,3,0.6839023358718501,0.7295735706486544
Margins / Profitability,5,3,0.8499800233064586,0.5268149200430374
Margins / Profitability,7,3,-0.7563845449151828,-0.6541272202052532
Margins / Profitability,10,3,0.38993031292577096,-0.9208443685344498
Margins / Profitability,21,3,-0.868181892963196,-0.49624610903345273
Capital Allocation,1,3,-0.5389896884271009,0.7255278356499955
Capital Allocation,3,3,0.12613841857717228,-0.36071949117576785
Capital Allocation,5,3,0.3902160897289345,-0.5999432320550848
Capital Allocation,7,3,0.8337664618881524,-0.6767439547676362
Capital Allocation,10,3,-0.8357118484099987,0.6793407372295912
Capital Allocation,21,3,0.05262558088059943,-0.29094438478125084
Macro / Demand,1,2,-1.0,1.0
Macro / Demand,3,2,-1.0,1.0
Macro / Demand,5,2,1.0,-1.0
Macro / Demand,7,2,1.0,-1.0
Macro / Demand,10,2,-1.0,1.0
Macro / Demand,21,2,-1.0,1.0
Other,1,5,-0.701374459412495,
Other,3,5,0.7453840858503413,
Other,5,5,0.22761918471735237,
Other,7,5,-0.776397302329767,
Other,10,5,0.3643270215332984,
Other,21,5,-0.13195303573457282,
