topic,horizon_days,n_events,rho_sentiment_vs_excess_return,rho_risk_intensity_vs_excess_return
Autonomy and Full Self-Driving (FSD),1,6,-0.026897303045433293,0.34150726466870285
Autonomy and Full Self-Driving (FSD),3,6,0.11762160765395313,-0.2376019193792396
Autonomy and Full Self-Driving (FSD),5,6,0.3090465165916811,-0.3184639948034451
Autonomy and Full Self-Driving (FSD),7,6,0.5517296805180358,-0.43966245396965653
Autonomy and Full Self-Driving (FSD),10,6,0.7678974382637781,-0.4721178773287731
Autonomy and Full Self-Driving (FSD),21,6,0.5664876583989831,-0.4244298834990194
Energy Storage Solutions,1,6,0.1729564775884691,-0.05968013252616237
Energy Storage Solutions,3,6,-0.095292934427199,-0.03487404038855682
Energy Storage Solutions,5,6,-0.08468917795694293,-0.01736490854649483
Energy Storage Solutions,7,6,-0.3462153072702991,0.13045414277885814
Energy Storage Solutions,10,6,-0.1954887075902697,0.23067238611255603
Energy Storage Solutions,21,6,-0.06498199576724434,0.25461546986635325
Robotaxi Service,1,6,-0.1568080217872669,-0.7612047810954368
Robotaxi Service,3,6,-0.26100869379966185,-0.32496933064893485
Robotaxi Service,5,6,-0.2929111928680096,-0.5081582605722547
Robotaxi Service,7,6,-0.5957528012382836,-0.4279755488128292
Robotaxi Service,10,6,-0.3901719966084305,-0.816569476793953
Robotaxi Service,21,6,-0.08439475306870903,-0.7419911199713404
Model Lineup and Production Updates,1,6,-0.5294918661236258,-0.4817741419256927
Model Lineup and Production Updates,3,6,0.08583234365750587,-0.0020466137516527093
Model Lineup and Production Updates,5,6,0.17837835480689387,-0.2272891882923381
Model Lineup and Production Updates,7,6,0.5356538797183769,-0.17937290631840874
Model Lineup and Production Updates,10,6,0.44225213152627635,-0.8025272507501773
Model Lineup and Production Updates,21,6,0.21582306464924403,-0.8518198380763708
4680 Battery Cell Production,1,3,0.9050520067111432,-0.5238658956497736
4680 Battery Cell Production,3,3,0.991607937032947,-0.9002406085728976
4680 Battery Cell Production,5,3,0.9996774097963113,-0.8222062729750133
4680 Battery Cell Production,7,3,0.9404419897797935,-0.6002465092692908
4680 Battery Cell Production,10,3,0.7938990810747635,-0.3307290735400457
4680 Battery Cell Production,21,3,0.809338164220444,-0.3549920545953137
AI and Compute Infrastructure,1,6,0.011418172129112435,-0.362885339800237
AI and Compute Infrastructure,3,6,0.4803067021704162,-0.6021689937143809
