period,primary_topic,sentiment_score,risk_intensity_score,uncertainty_score,finbert_positive,finbert_negative
Q1_2024,4680 Battery Cell Production,0.1667,0.1778,0.3889,0.2947,0.1077
Q1_2024,AI and Compute Infrastructure,0.4111,0.0778,0.2222,0.1574,0.0449
Q1_2024,Autonomy and Full Self-Driving (FSD),0.4444,0.1278,0.2444,0.1175,0.0408
Q1_2024,Capital Allocation,0.0,0.0,0.0,0.0571,0.0216
Q1_2024,Cost Management and Efficiency Initiatives,0.1714,0.1714,0.3286,0.0938,0.1609
Q1_2024,Energy Storage Solutions,0.6,0.0,0.15,0.1895,0.0167
Q1_2024,Global Expansion and Market Penetration,0.6,0.2,0.3,0.332,0.0213
Q1_2024,Guidance / Outlook,0.8,0.0,0.1,0.1001,0.0161
Q1_2024,Macro / Demand,0.3,0.0,0.4,0.1135,0.1054
Q1_2024,Market Demand and Sales Strategies,0.24,0.24,0.32,0.2271,0.1957
Q1_2024,Model Lineup and Production Updates,0.2786,0.1929,0.35,0.2204,0.045
Q1_2024,Optimus Robot Development,0.6,0.3,0.4,0.1148,0.0203
Q1_2024,Other,0.16,0.0,0.2,0.079,0.0433
Q1_2024,Regulation / Geopolitics,0.1,0.4,0.5,0.1483,0.0141
Q1_2024,Regulatory Challenges,0.3,0.15,0.25,0.1377,0.0505
Q1_2024,Robotaxi Service,0.5,0.15,0.2,0.0547,0.0451
Q2_2025,AI and Compute Infrastructure,0.2143,0.1143,0.3143,0.075,0.0278
Q2_2025,Autonomy and Full Self-Driving (FSD),0.3182,0.1636,0.3455,0.1377,0.0365
Q2_2025,Capital Allocation,0.3,0.1,0.25,0.2567,0.0102
Q2_2025,Energy Storage Solutions,0.1,0.4,0.45,0.4623,0.0177
Q2_2025,Market Demand and Sales Strategies,0.2,0.5,0.5,0.2,0.0402
Q2_2025,Model Lineup and Production Updates,0.1667,0.2167,0.3,0.2379,0.0195
Q2_2025,Optimus Robot Development,0.15,0.2,0.475,0.0755,0.0387
Q2_2025,Other,0.05,0.0,0.05,0.0671,0.0263
Q2_2025,Regulation / Geopolitics,-0.6,0.0,0.7,0.1323,0.089
Q2_2025,Regulatory Challenges,-0.2,0.55,0.45,0.0341,0.2965
Q2_2025,Robotaxi Service,0.3385,0.1615,0.3538,0.1666,0.0223
Q3_2024,AI and Compute Infrastructure,0.2571,0.1,0.3143,0.0702,0.034
Q3_2024,Autonomy and Full Self-Driving (FSD),0.525,0.1333,0.2333,0.2371,0.0266
Q3_2024,Cost Management and Efficiency Initiatives,0.4727,0.0455,0.1818,0.1622,0.1065
Q3_2024,Energy Storage Solutions,0.7,0.05,0.15,0.2715,0.0118
Q3_2024,Macro / Demand,0.6,0.2,0.3,0.126,0.523
Q3_2024,Market Demand and Sales Strategies,0.6,0.0571,0.1857,0.2138,0.0645
Q3_2024,Model Lineup and Production Updates,0.2636,0.0273,0.2273,0.1601,0.0821
Q3_2024,Other,0.1,0.0,0.1455,0.0719,0.0329
Q3_2024,Regulatory Challenges,-0.0375,0.375,0.4875,0.13,0.0241
Q3_2024,Robotaxi Service,0.5818,0.1091,0.2455,0.1237,0.0184
Q3_2025,AI and Compute Infrastructure,0.275,0.1625,0.3,0.1018,0.0264
Q3_2025,Autonomy and Full Self-Driving (FSD),0.5,0.1,0.2385,0.1392,0.023
Q3_2025,Capital Allocation,0.2333,0.0,0.3333,0.0763,0.1791
Q3_2025,Energy Storage Solutions,0.4,0.1,0.3,0.4775,0.0172
Q3_2025,Model Lineup and Production Updates,0.5,0.2667,0.3,0.4735,0.0199
Q3_2025,Optimus Robot Development,0.2,0.3,0.4167,0.0738,0.0372
Q3_2025,Other,0.0,0.0,0.0,0.0449,0.0558
Q3_2025,Regulatory Challenges,0.2,0.4,0.4,0.0398,0.096
Q3_2025,Robotaxi Service,0.4667,0.2667,0.3,0.1279,0.0594
Q4_2024,4680 Battery Cell Production,-0.6,0.6,0.7,0.0942,0.1008
Q4_2024,AI and Compute Infrastructure,0.3333,0.2333,0.3667,0.0856,0.069
