topic,horizon_days,n_events,rho_sentiment_vs_excess_return,rho_risk_intensity_vs_excess_return,indicative_only
4680 Battery Cell Production,1,3,0.9050520067111432,-0.5238658956497736,True
4680 Battery Cell Production,3,3,0.991607937032947,-0.9002406085728976,True
4680 Battery Cell Production,5,3,0.9996774097963113,-0.8222062729750133,True
4680 Battery Cell Production,7,3,0.9404419897797935,-0.6002465092692908,True
4680 Battery Cell Production,10,3,0.7938990810747635,-0.3307290735400457,True
4680 Battery Cell Production,21,3,0.809338164220444,-0.3549920545953137,True
AI Agent Ecosystem,1,4,-0.42666635144379667,0.8077195176287811,True
AI Agent Ecosystem,3,4,0.0391961814667507,0.4641069556128339,True
AI Agent Ecosystem,5,4,0.0587845914224423,0.4388930569708996,True
AI Agent Ecosystem,7,4,0.09218723935765231,0.4291222928194765,True
AI Agent Ecosystem,10,4,0.2719010398909832,0.2604753054037003,True
AI Agent Ecosystem,21,4,0.04083402922484599,0.45685484825201456,True
AI Factory Deployments,1,7,0.13311297665976163,0.17420759587732138,False
AI Factory Deployments,3,7,0.17930719837876583,0.12427321831702678,False
AI Factory Deployments,5,7,0.007907824397983983,0.09428846307820885,False
AI Factory Deployments,7,7,-0.07206201140638467,0.19726730667604267,False
AI Factory Deployments,10,7,0.040165919050596,0.10769685278246255,False
AI Factory Deployments,21,7,-0.28320055331164945,0.3426091762111526,False
AI Infrastructure,1,4,0.46354997812066795,-0.8191850543059231,True
AI Infrastructure,3,4,0.4822932760260421,-0.9454863050794091,True
AI Infrastructure,5,4,0.8529630309847686,-0.9755595308080114,True
AI Infrastructure,7,4,0.7413552895164621,-0.9976686371773927,True
AI Infrastructure,10,4,0.6454394995624566,-0.9698809954071741,True
AI Infrastructure,21,4,0.8501496281472792,-0.9788511262749585,True
AI Integration,1,4,0.257764883235779,0.46295194185514316,True
AI Integration,3,4,-0.005793815420033391,0.3297094619834691,True
AI Integration,5,4,0.10823743191150663,0.19253267369189062,True
AI Integration,7,4,0.016247795548041837,-0.0451736681004302,True
AI Integration,10,4,-0.06149035135000925,0.02184355317835079,True
AI Integration,21,4,-0.6154686604659371,-0.02544079552168092,True
AI Integration and Development,1,5,0.7932872629556889,-0.71794004620011,True
AI Integration and Development,3,5,0.4240328598613174,-0.5672752321311519,True
AI Integration and Development,5,5,0.5446976201538271,-0.6922638305918084,True
AI Integration and Development,7,5,0.16466263013781457,0.003307075913012579,True
AI Integration and Development,10,5,-0.4662958646107585,0.1708563899222678,True
AI Integration and Development,21,5,0.48643343383529725,-0.6539891345627445,True
AI and Compute Infrastructure,1,6,0.011418172129112435,-0.362885339800237,False
AI and Compute Infrastructure,3,6,0.4803067021704162,-0.6021689937143809,False
AI and Compute Infrastructure,5,6,0.3601419725627751,-0.7329358566726036,False
AI and Compute Infrastructure,7,6,0.05607941699754552,-0.649770856510508,False
AI and Compute Infrastructure,10,6,-0.3252046433136466,-0.7986079983113883,False
AI and Compute Infrastructure,21,6,-0.28760139579314825,-0.732337896787431,False
AI and Machine Learning in Products,1,5,-0.40613340912241824,0.2600990384705162,True
AI and Machine Learning in Products,3,5,-0.82443314423002,0.3641499445776721,True
AI and Machine Learning in Products,5,5,-0.9863371438012359,0.6600984924472475,True
AI and Machine Learning in Products,7,5,-0.9909530276307638,0.6296951800308686,True
AI and Machine Learning in Products,10,5,-0.7958552241956475,0.6680334344795004,True
AI and Machine Learning in Products,21,5,-0.740647336440466,0.5715743994175821,True
AI in Advertising,1,4,-0.7069499962179541,0.608916898171252,True
AI in Advertising,3,4,-0.31440213008705425,0.19488557080953367,True
AI in Advertising,5,4,-0.060942011195419706,-0.07208773638836714,True
AI in Advertising,7,4,-0.12012292350754222,-0.01291042416268752,True
AI in Advertising,10,4,0.01576735818680819,-0.14575908365309606,True
AI in Advertising,21,4,-0.08343219352194596,-0.049629894123560225,True
AWS Growth and Trends,1,5,-0.10069407689140109,-0.0640466133739622,True
AWS Growth and Trends,3,5,-0.19044033874759603,-0.4402860458061598,True
AWS Growth and Trends,5,5,0.023581145214603926,-0.5561278440828304,True
AWS Growth and Trends,7,5,0.399707037088223,-0.6076551164376143,True
AWS Growth and Trends,10,5,0.583321347713235,-0.8196459828761553,True
AWS Growth and Trends,21,5,0.16019418015816417,-0.22796794235758877,True
Advertising Performance,1,5,-0.43615070434385744,0.666185022043856,True
Advertising Performance,3,5,-0.36034561070856824,0.5915174209613107,True
Advertising Performance,5,5,0.7781630495518193,-0.4133727443920776,True
Advertising Performance,7,5,0.7397509797316497,-0.30810086314642454,True
Advertising Performance,10,5,0.7314997809925542,-0.35522547164861656,True
Advertising Performance,21,5,0.8142539665326979,-0.6931715794800172,True
Apple Intelligence,1,5,-0.9428561965685569,0.8452260670316213,True
Apple Intelligence,3,5,-0.8731427817073903,0.7914851307514589,True
Apple Intelligence,5,5,-0.6276169098123249,0.5150634971824255,True
Apple Intelligence,7,5,-0.520958940728191,0.4673303128222689,True
Apple Intelligence,10,5,0.0792430155579052,-0.12256876557809815,True
Apple Intelligence,21,5,0.1538952505791778,-0.1795377026354813,True
Autonomy and Full Self-Driving (FSD),1,6,-0.026897303045433293,0.34150726466870285,False
Autonomy and Full Self-Driving (FSD),3,6,0.11762160765395313,-0.2376019193792396,False
Autonomy and Full Self-Driving (FSD),5,6,0.3090465165916811,-0.3184639948034451,False
Autonomy and Full Self-Driving (FSD),7,6,0.5517296805180358,-0.43966245396965653,False
Autonomy and Full Self-Driving (FSD),10,6,0.7678974382637781,-0.4721178773287731,False
Autonomy and Full Self-Driving (FSD),21,6,0.5664876583989831,-0.4244298834990194,False
Azure Data Center Expansion,1,3,0.17598022816379474,0.5657016714143585,True
Azure Data Center Expansion,3,3,-0.9806522014118325,-0.9742666753544263,True
Azure Data Center Expansion,5,3,-0.9608063521949533,-0.7614285251609665,True
Azure Data Center Expansion,7,3,0.9177520820521392,0.9998724978978322,True
Azure Data Center Expansion,10,3,-0.9926704342534707,-0.8548516592396683,True
Azure Data Center Expansion,21,3,-0.6531852192887813,-0.28346074790790815,True
Blackwell Architecture,1,7,0.6060231980468758,-0.472132989579475,False
Blackwell Architecture,3,7,0.43273253010507756,-0.6274202190621583,False
Blackwell Architecture,5,7,0.12302857802595772,-0.31749916144034795,False
Blackwell Architecture,7,7,-0.008683468100754424,-0.23655721415037942,False
Blackwell Architecture,10,7,0.023932002633940568,-0.18785456767330877,False
Blackwell Architecture,21,7,0.3570928777327702,-0.4405873677291083,False
Capital Allocation,1,22,-0.11352605041209705,0.11101364898512801,False
Capital Allocation,3,22,-0.1406378394367237,-0.14109836172495752,False
Capital Allocation,5,22,-0.2637418809705752,0.05972685828326135,False
Capital Allocation,7,22,-0.3091585818052737,0.06109075937692174,False
Capital Allocation,10,22,-0.35763206553184496,0.04838876087206789,False
Capital Allocation,21,22,-0.4356128075907387,0.16603670195489012,False
Consumer Electronics Trends,1,3,0.5916359564806326,-0.6162767596277761,True
Consumer Electronics Trends,3,3,0.4321853581006441,-0.45985718709019285,True
Consumer Electronics Trends,5,3,-0.7393276684823665,0.7181580085713002,True
Consumer Electronics Trends,7,3,-0.7579906686145734,0.7374637833031903,True
Consumer Electronics Trends,10,3,-0.772331714341984,0.7523249452532719,True
Consumer Electronics Trends,21,3,-0.9702874423753441,0.9623437020310966,True
Cost Management and Efficiency,1,4,0.4634644419801261,-0.9091922473314377,True
Cost Management and Efficiency,3,4,0.8200292533710308,-0.9925711223548205,True
Cost Management and Efficiency,5,4,0.7644394743353264,-0.9944692357215893,True
Cost Management and Efficiency,7,4,0.5347862585296811,-0.8536680661662128,True
Cost Management and Efficiency,10,4,0.33393925659074286,0.1900092690116873,True
Cost Management and Efficiency,21,4,-0.09037055974117403,0.6558348321087295,True
Cost Management and Efficiency Initiatives,1,3,-0.9996522341575734,0.8701260942069672,True
Cost Management and Efficiency Initiatives,3,3,-0.888651904030273,0.5691177831011881,True
Cost Management and Efficiency Initiatives,5,3,-0.8546025234435167,0.5105466457782789,True
Cost Management and Efficiency Initiatives,7,3,-0.9854141398228943,0.7900105625239642,True
Cost Management and Efficiency Initiatives,10,3,0.9565776280135123,-0.981396152240933,True
Cost Management and Efficiency Initiatives,21,3,0.9460162863758025,-0.9874044512440411,True
Data Center Revenue,1,7,-0.11467599676086704,0.18547926559039846,False
Data Center Revenue,3,7,-0.4187337914545342,-0.11904560570690778,False
Data Center Revenue,5,7,-0.09829088176421735,-0.33952530541574394,False
Data Center Revenue,7,7,-0.017997851825624907,-0.1972574228676932,False
Data Center Revenue,10,7,0.18415101058760358,-0.1114234033801794,False
Data Center Revenue,21,7,-0.12905979330010836,-0.41176292308371804,False
Delivery Speed and Logistics,1,2,-0.9999999999999998,0.9999999999999998,True
Delivery Speed and Logistics,3,2,-1.0,1.0,True
Delivery Speed and Logistics,5,2,-0.9999999999999999,1.0,True
Delivery Speed and Logistics,7,2,-0.9999999999999999,1.0,True
Delivery Speed and Logistics,10,2,-0.9999999999999999,1.0,True
Delivery Speed and Logistics,21,2,1.0,-1.0,True
E-commerce Store Performance,1,5,-0.19969511112757146,0.1325090294320523,True
E-commerce Store Performance,3,5,-0.2027297808565372,-0.24678509056301048,True
E-commerce Store Performance,5,5,-0.3736355010882629,-0.09928363936797868,True
E-commerce Store Performance,7,5,-0.7526419998957565,0.2840727940772529,True
E-commerce Store Performance,10,5,-0.8180524983229924,0.13962246133461145,True
E-commerce Store Performance,21,5,-0.36029033521219317,-0.041674164323800784,True
Emerging Market Performance,1,5,0.2083163739542535,-0.6808088915070912,True
Emerging Market Performance,3,5,0.11887683315280927,-0.30059592981505256,True
Emerging Market Performance,5,5,0.25744768193243106,-0.03260296440075648,True
Emerging Market Performance,7,5,0.14328230548802826,0.03694066315614514,True
Emerging Market Performance,10,5,0.17422803822743516,0.46421092731946073,True
Emerging Market Performance,21,5,0.1116995553701407,0.5316003682211772,True
Energy Storage Solutions,1,6,0.1729564775884691,-0.05968013252616237,False
Energy Storage Solutions,3,6,-0.095292934427199,-0.03487404038855682,False
Energy Storage Solutions,5,6,-0.08468917795694293,-0.01736490854649483,False
Energy Storage Solutions,7,6,-0.3462153072702991,0.13045414277885814,False
Energy Storage Solutions,10,6,-0.1954887075902697,0.23067238611255603,False
Energy Storage Solutions,21,6,-0.06498199576724434,0.25461546986635325,False
Enterprise AI Adoption,1,2,-1.0,,True
Enterprise AI Adoption,3,2,0.9999999999999998,,True
Enterprise AI Adoption,5,2,1.0,,True
Enterprise AI Adoption,7,2,1.0,,True
Enterprise AI Adoption,10,2,-1.0,,True
Enterprise AI Adoption,21,2,-1.0,,True
Gemini Models,1,4,0.3549494526670395,-0.0024972257305178893,True
Gemini Models,3,4,0.22414952095589796,0.3875982952244693,True
Gemini Models,5,4,-0.31234052074325647,0.6824422018853291,True
Gemini Models,7,4,-0.13843853703223521,0.6252218839261323,True
Gemini Models,10,4,-0.11216911459763337,0.6986077848834911,True
Gemini Models,21,4,-0.29579272901007125,0.6657716098124882,True
Generative AI Applications,1,6,0.6673897949614116,0.036856169717085475,False
Generative AI Applications,3,6,0.5231156764225662,0.16295439955253951,False
Generative AI Applications,5,6,0.30970351916474304,0.5295017215669139,False
Generative AI Applications,7,6,0.3855116831441119,0.5887143002427547,False
Generative AI Applications,10,6,0.49764595202847817,0.6587196990157982,False
Generative AI Applications,21,6,0.6186852061202432,0.7983325239517046,False
Generative AI Initiatives,1,5,-0.06605476579826797,-0.480765288315586,True
Generative AI Initiatives,3,5,-0.059903017565259224,-0.2672624589670537,True
Generative AI Initiatives,5,5,-0.08960096024368294,-0.260310412492396,True
Generative AI Initiatives,7,5,0.10434990042107731,-0.43696385186655895,True
Generative AI Initiatives,10,5,0.29649170358903293,-0.09061343766977618,True
Generative AI Initiatives,21,5,0.6281954767357681,-0.07519330575705253,True
Global Expansion and Market Penetration,1,2,,0.9999999999999999,True
Global Expansion and Market Penetration,3,2,,1.0,True
Global Expansion and Market Penetration,5,2,,0.9999999999999998,True
Global Expansion and Market Penetration,7,2,,0.9999999999999999,True
Global Expansion and Market Penetration,10,2,,-1.0,True
Global Expansion and Market Penetration,21,2,,1.0,True
Google Cloud Expansion,1,3,-0.22479766406481902,0.05427284176214372,True
Google Cloud Expansion,3,3,0.5972412695090965,0.7962627242763757,True
Google Cloud Expansion,5,3,0.9991024954246946,0.9716546351497188,True
Google Cloud Expansion,7,3,0.9482718323141637,0.9991175294371382,True
Google Cloud Expansion,10,3,0.881912999022181,0.9780608219772118,True
Google Cloud Expansion,21,3,0.9990164786084627,0.9721218140833114,True
Guidance / Outlook,1,25,-0.07302101680387209,0.018676633127298517,False
Guidance / Outlook,3,25,0.17608229911107587,-0.22247204064563825,False
Guidance / Outlook,5,25,0.19785271910736194,-0.08688135791301593,False
Guidance / Outlook,7,25,0.21960565323092215,-0.0007400122465134009,False
Guidance / Outlook,10,25,0.20492561846978422,-0.12185530568478108,False
Guidance / Outlook,21,25,0.38048377705764885,-0.06251704991761697,False
Hopper Architecture,1,3,-0.5443652065352685,-0.9251852035763931,True
Hopper Architecture,3,3,-0.5617531240861343,-0.9329040703639623,True
Hopper Architecture,5,3,0.6490044914274113,0.1002155480871003,True
Hopper Architecture,7,3,0.8678364428005001,0.43040367959797626,True
Hopper Architecture,10,3,0.24266910685569965,-0.3529993196754322,True
Hopper Architecture,21,3,0.24667125117235733,-0.34913444327294985,True
Inference Performance,1,4,0.686543859021341,0.8585145934669863,True
Inference Performance,3,4,0.10937880822562572,0.2620369616960241,True
Inference Performance,5,4,0.0943173357056423,0.13113051794647243,True
Inference Performance,7,4,0.004818155004090144,0.05494966516883062,True
Inference Performance,10,4,-0.02044358057314499,-0.008791715655765421,True
Inference Performance,21,4,0.4292213247464439,0.497188243528044,True
Infrastructure Investments,1,5,0.2957058792264376,0.3039628810658701,True
Infrastructure Investments,3,5,0.15074843966245696,0.5612377883288647,True
Infrastructure Investments,5,5,-0.1701618015116352,0.41780996163769146,True
Infrastructure Investments,7,5,-0.3267411045687608,0.5790541469145627,True
Infrastructure Investments,10,5,-0.28050683714020086,0.566008313810303,True
Infrastructure Investments,21,5,-0.2508898896180255,0.38671334205162505,True
Mac Performance,1,3,-0.2953414112801283,0.704226748905665,True
Mac Performance,3,3,-0.3020597601317932,0.6992112902391917,True
Mac Performance,5,3,-0.5004899198392172,0.528626516206073,True
Mac Performance,7,3,-0.596281860337597,0.4280055224377957,True
Mac Performance,10,3,-0.9777754536406214,-0.6448843918097678,True
Mac Performance,21,3,-0.8000095852951351,-0.9057453960520477,True
Macro / Demand,1,19,0.035595766439420404,0.15343968753419407,False
Macro / Demand,3,19,0.07300190090190255,0.019868036238623234,False
Macro / Demand,5,19,0.06146422273802932,0.14216491011871057,False
Macro / Demand,7,19,0.052148768390076046,0.13753616285978879,False
Macro / Demand,10,19,-0.026230544114048314,0.30269477443279474,False
Macro / Demand,21,19,0.1831512738384672,0.1873277191889496,False
Margins / Profitability,1,19,-0.12757728351456363,-0.12454758218071721,False
Margins / Profitability,3,19,0.21742566497228258,-0.14526039992729328,False
Margins / Profitability,5,19,0.3110646720393875,-0.18996908375817761,False
Margins / Profitability,7,19,0.31745332515467695,-0.2663507328887063,False
Margins / Profitability,10,19,0.13487068805068633,-0.16966978793429882,False
Margins / Profitability,21,19,0.10187868160376452,-0.05692328078756861,False
Market Demand and Sales Strategies,1,5,0.23388421675567986,-0.0652190909695918,True
Market Demand and Sales Strategies,3,5,-0.28223823068825954,0.2763711295070504,True
Market Demand and Sales Strategies,5,5,-0.06635000138602574,0.17908720104957798,True
Market Demand and Sales Strategies,7,5,0.09515409802321684,0.1584379906243478,True
Market Demand and Sales Strategies,10,5,0.6230729264927344,-0.09849598265123988,True
Market Demand and Sales Strategies,21,5,0.6169831408084658,-0.10179589149764849,True
Microsoft 365 Copilot Adoption,1,4,0.6548845234239994,-0.39798523856510876,True
Microsoft 365 Copilot Adoption,3,4,-0.819125446368791,0.4488241105459079,True
Microsoft 365 Copilot Adoption,5,4,-0.7537718058625865,0.8178453750976123,True
Microsoft 365 Copilot Adoption,7,4,0.5488622767234288,-0.12000916831298584,True
Microsoft 365 Copilot Adoption,10,4,-0.5516653636108347,0.8148360875689824,True
Microsoft 365 Copilot Adoption,21,4,-0.6548718001076625,0.9391996597630639,True
Microsoft Cloud Growth,1,5,0.5318179282954603,0.16105099803821527,True
Microsoft Cloud Growth,3,5,0.08349827067324843,0.8493380623031315,True
Microsoft Cloud Growth,5,5,-0.4282930569672308,0.922209073007696,True
Microsoft Cloud Growth,7,5,-0.35106550240458534,-0.16996239881439934,True
Microsoft Cloud Growth,10,5,-0.6098201501453593,0.12734788298933813,True
Microsoft Cloud Growth,21,5,-0.4007955656516554,0.6718944534471548,True
Model Lineup and Production Updates,1,6,-0.5294918661236258,-0.4817741419256927,False
Model Lineup and Production Updates,3,6,0.08583234365750587,-0.0020466137516527093,False
Model Lineup and Production Updates,5,6,0.17837835480689387,-0.2272891882923381,False
Model Lineup and Production Updates,7,6,0.5356538797183769,-0.17937290631840874,False
Model Lineup and Production Updates,10,6,0.44225213152627635,-0.8025272507501773,False
Model Lineup and Production Updates,21,6,0.21582306464924403,-0.8518198380763708,False
