topic,horizon_days,n_events,rho_sentiment_vs_excess_return,rho_risk_intensity_vs_excess_return
AWS Growth and Trends,1,5,-0.10069407689140109,-0.0640466133739622
AWS Growth and Trends,3,5,-0.19044033874759603,-0.4402860458061598
AWS Growth and Trends,5,5,0.023581145214603926,-0.5561278440828304
AWS Growth and Trends,7,5,0.399707037088223,-0.6076551164376143
AWS Growth and Trends,10,5,0.583321347713235,-0.8196459828761553
AWS Growth and Trends,21,5,0.16019418015816417,-0.22796794235758877
Generative AI Initiatives,1,5,-0.06605476579826797,-0.480765288315586
Generative AI Initiatives,3,5,-0.059903017565259224,-0.2672624589670537
Generative AI Initiatives,5,5,-0.08960096024368294,-0.260310412492396
Generative AI Initiatives,7,5,0.10434990042107731,-0.43696385186655895
Generative AI Initiatives,10,5,0.29649170358903293,-0.09061343766977618
Generative AI Initiatives,21,5,0.6281954767357681,-0.07519330575705253
E-commerce Store Performance,1,5,-0.19969511112757146,0.1325090294320523
E-commerce Store Performance,3,5,-0.2027297808565372,-0.24678509056301048
E-commerce Store Performance,5,5,-0.3736355010882629,-0.09928363936797868
E-commerce Store Performance,7,5,-0.7526419998957565,0.2840727940772529
E-commerce Store Performance,10,5,-0.8180524983229924,0.13962246133461145
E-commerce Store Performance,21,5,-0.36029033521219317,-0.041674164323800784
Delivery Speed and Logistics,1,2,-0.9999999999999998,0.9999999999999998
Delivery Speed and Logistics,3,2,-1.0,1.0
Delivery Speed and Logistics,5,2,-0.9999999999999999,1.0
Delivery Speed and Logistics,7,2,-0.9999999999999999,1.0
Delivery Speed and Logistics,10,2,-0.9999999999999999,1.0
Delivery Speed and Logistics,21,2,1.0,-1.0
Cost Management and Efficiency,1,4,0.4634644419801261,-0.9091922473314377
Cost Management and Efficiency,3,4,0.8200292533710308,-0.9925711223548205
Cost Management and Efficiency,5,4,0.7644394743353264,-0.9944692357215893
Cost Management and Efficiency,7,4,0.5347862585296811,-0.8536680661662128
Cost Management and Efficiency,10,4,0.33393925659074286,0.1900092690116873
Cost Management and Efficiency,21,4,-0.09037055974117403,0.6558348321087295
Guidance / Outlook,1,5,-0.8019214441650225,0.8392314817781797
Guidance / Outlook,3,5,-0.6904144164948279,0.5815275431798899
Guidance / Outlook,5,5,-0.715614957391847,0.5362558067570409
Guidance / Outlook,7,5,-0.8138253837773939,0.517399927681395
Guidance / Outlook,10,5,-0.25845397656783403,-0.21898520672652244
Guidance / Outlook,21,5,0.1824113417402716,-0.45269449640559695
Capital Allocation,1,2,1.0,0.9999999999999999
Capital Allocation,3,2,0.9999999999999998,0.9999999999999998
Capital Allocation,5,2,1.0,0.9999999999999998
Capital Allocation,7,2,1.0,1.0
Capital Allocation,10,2,-1.0,-0.9999999999999998
Capital Allocation,21,2,-1.0,-0.9999999999999998
Other,1,4,,
Other,3,4,,
Other,5,4,,
Other,7,4,,
Other,10,4,,
Other,21,4,,
