topic,horizon_days,n_events,rho_sentiment_vs_excess_return,rho_risk_intensity_vs_excess_return
AI Infrastructure,1,4,0.46354997812066795,-0.8191850543059231
AI Infrastructure,3,4,0.4822932760260421,-0.9454863050794091
AI Infrastructure,5,4,0.8529630309847686,-0.9755595308080114
AI Infrastructure,7,4,0.7413552895164621,-0.9976686371773927
AI Infrastructure,10,4,0.6454394995624566,-0.9698809954071741
AI Infrastructure,21,4,0.8501496281472792,-0.9788511262749585
Gemini Models,1,4,0.3549494526670395,-0.0024972257305178893
Gemini Models,3,4,0.22414952095589796,0.3875982952244693
Gemini Models,5,4,-0.31234052074325647,0.6824422018853291
Gemini Models,7,4,-0.13843853703223521,0.6252218839261323
Gemini Models,10,4,-0.11216911459763337,0.6986077848834911
Gemini Models,21,4,-0.29579272901007125,0.6657716098124882
YouTube Growth,1,4,0.7876915902289728,-0.803491659876349
YouTube Growth,3,4,0.5541563236608934,-0.49364844671735014
YouTube Growth,5,4,0.68698655685923,-0.53654105118676
YouTube Growth,7,4,0.6355509871772668,-0.5074577802738993
YouTube Growth,10,4,0.4757311809974545,-0.337865600092247
YouTube Growth,21,4,0.6987492355048665,-0.5522733338403277
Google Cloud Expansion,1,3,-0.22479766406481902,0.05427284176214372
Google Cloud Expansion,3,3,0.5972412695090965,0.7962627242763757
Google Cloud Expansion,5,3,0.9991024954246946,0.9716546351497188
Google Cloud Expansion,7,3,0.9482718323141637,0.9991175294371382
Google Cloud Expansion,10,3,0.881912999022181,0.9780608219772118
Google Cloud Expansion,21,3,0.9990164786084627,0.9721218140833114
Search Innovations,1,4,-0.9913414187523346,0.34904390687174963
Search Innovations,3,4,-0.816126466330199,0.7422337459457592
Search Innovations,5,4,-0.6371134843304557,0.6367514957602327
Search Innovations,7,4,-0.7010359792675094,0.7220203470835086
Search Innovations,10,4,-0.6000403075573622,0.8408148550156579
Search Innovations,21,4,-0.6545241085305091,0.6302679238928561
AI in Advertising,1,4,-0.7069499962179541,0.608916898171252
AI in Advertising,3,4,-0.31440213008705425,0.19488557080953367
AI in Advertising,5,4,-0.060942011195419706,-0.07208773638836714
AI in Advertising,7,4,-0.12012292350754222,-0.01291042416268752
AI in Advertising,10,4,0.01576735818680819,-0.14575908365309606
AI in Advertising,21,4,-0.08343219352194596,-0.049629894123560225
AI Agent Ecosystem,1,4,-0.42666635144379667,0.8077195176287811
AI Agent Ecosystem,3,4,0.0391961814667507,0.4641069556128339
AI Agent Ecosystem,5,4,0.0587845914224423,0.4388930569708996
AI Agent Ecosystem,7,4,0.09218723935765231,0.4291222928194765
AI Agent Ecosystem,10,4,0.2719010398909832,0.2604753054037003
AI Agent Ecosystem,21,4,0.04083402922484599,0.45685484825201456
Guidance / Outlook,1,4,0.9861571455907523,0.9861571455907523
Guidance / Outlook,3,4,0.8378973595370096,0.8378973595370097
Guidance / Outlook,5,4,0.7402847268569525,0.7402847268569526
Guidance / Outlook,7,4,0.7796916177487956,0.7796916177487956
Guidance / Outlook,10,4,0.6732509515005651,0.6732509515005651
Guidance / Outlook,21,4,0.75542321101772,0.7554232110177199
Margins / Profitability,1,3,0.036601599881015155,-0.6818832202938773
Margins / Profitability,3,3,-0.7380546856299876,0.1161952941904793
Margins / Profitability,5,3,-0.98910409138435,0.8440691215293513
Margins / Profitability,7,3,-0.9911786594645341,0.6624977481315972
Margins / Profitability,10,3,-0.9551099049232917,0.5280529611621414
Margins / Profitability,21,3,-0.989394264556984,0.84300342448538
Capital Allocation,1,3,-0.8968547040087766,0.959964373730085
Capital Allocation,3,3,-0.5836054337115334,0.9789542481023088
Capital Allocation,5,3,-0.5817510919750826,0.9784860516294691
Capital Allocation,7,3,-0.5406805299685971,0.9670450825761941
Capital Allocation,10,3,-0.33674752279594977,0.8845701389330229
Capital Allocation,21,3,-0.6042355990115034,0.9838653279320536
Macro / Demand,1,2,1.0,
Macro / Demand,3,2,1.0,
Macro / Demand,5,2,1.0,
Macro / Demand,7,2,1.0,
Macro / Demand,10,2,1.0,
Macro / Demand,21,2,1.0,
Other,1,4,,0.2829889364982312
Other,3,4,,-0.19324637205907255
Other,5,4,,-0.3150952920795814
Other,7,4,,-0.3186232968446863
Other,10,4,,-0.472336429756893
Other,21,4,,-0.29636096029058373
