topic,horizon_days,n_events,rho_sentiment_vs_excess_return,rho_risk_intensity_vs_excess_return
AI Integration,1,4,0.257764883235779,0.46295194185514316
AI Integration,3,4,-0.005793815420033391,0.3297094619834691
AI Integration,5,4,0.10823743191150663,0.19253267369189062
AI Integration,7,4,0.016247795548041837,-0.0451736681004302
AI Integration,10,4,-0.06149035135000925,0.02184355317835079
AI Integration,21,4,-0.6154686604659371,-0.02544079552168092
User Growth Metrics,1,4,-0.9502405455059921,-0.162027834704958
User Growth Metrics,3,4,-0.9848395471448169,-0.4664495475351557
User Growth Metrics,5,4,-0.9992834428325845,-0.41436933776065527
User Growth Metrics,7,4,-0.9551474089833781,-0.5497688057799368
User Growth Metrics,10,4,-0.9575997911279549,-0.6008840955128942
User Growth Metrics,21,4,-0.6542865791733842,-0.9492672313629972
Advertising Performance,1,5,-0.43615070434385744,0.666185022043856
Advertising Performance,3,5,-0.36034561070856824,0.5915174209613107
Advertising Performance,5,5,0.7781630495518193,-0.4133727443920776
Advertising Performance,7,5,0.7397509797316497,-0.30810086314642454
Advertising Performance,10,5,0.7314997809925542,-0.35522547164861656
Advertising Performance,21,5,0.8142539665326979,-0.6931715794800172
Infrastructure Investments,1,5,0.2957058792264376,0.3039628810658701
Infrastructure Investments,3,5,0.15074843966245696,0.5612377883288647
Infrastructure Investments,5,5,-0.1701618015116352,0.41780996163769146
Infrastructure Investments,7,5,-0.3267411045687608,0.5790541469145627
Infrastructure Investments,10,5,-0.28050683714020086,0.566008313810303
Infrastructure Investments,21,5,-0.2508898896180255,0.38671334205162505
Regulatory and Compliance Efforts,1,2,-1.0,0.9999999999999999
Regulatory and Compliance Efforts,3,2,0.9999999999999998,-0.9999999999999998
Regulatory and Compliance Efforts,5,2,0.9999999999999999,-0.9999999999999999
Regulatory and Compliance Efforts,7,2,0.9999999999999999,-0.9999999999999999
Regulatory and Compliance Efforts,10,2,1.0,-0.9999999999999998
Regulatory and Compliance Efforts,21,2,1.0,-1.0
Monetization Strategies,1,4,0.18408946779564606,-0.3838099439654644
Monetization Strategies,3,4,0.4771553247903598,-0.579892488083133
Monetization Strategies,5,4,0.4056592534001187,-0.6704813120428127
Monetization Strategies,7,4,0.5157344303982104,-0.839098965120214
Monetization Strategies,10,4,0.5765314510079154,-0.8082243965295273
Monetization Strategies,21,4,0.9401941756961232,-0.7223491544225168
Consumer Electronics Trends,1,3,0.5916359564806326,-0.6162767596277761
Consumer Electronics Trends,3,3,0.4321853581006441,-0.45985718709019285
Consumer Electronics Trends,5,3,-0.7393276684823665,0.7181580085713002
Consumer Electronics Trends,7,3,-0.7579906686145734,0.7374637833031903
Consumer Electronics Trends,10,3,-0.772331714341984,0.7523249452532719
Consumer Electronics Trends,21,3,-0.9702874423753441,0.9623437020310966
Guidance / Outlook,1,4,-0.9469645826830576,-0.5099239355385923
Guidance / Outlook,3,4,-0.9969432379522333,-0.3274963972261632
Guidance / Outlook,5,4,-0.28537932222603163,0.8397245985422664
Guidance / Outlook,7,4,-0.4231193207044744,0.7660063333732653
Guidance / Outlook,10,4,-0.41793557532207426,0.7605115151040416
Guidance / Outlook,21,4,-0.17995860369424005,0.8327570661521906
Margins / Profitability,1,3,0.5354942050659318,-0.9999683767555959
Margins / Profitability,3,3,0.6825635172296342,-0.9841609823596326
Margins / Profitability,5,3,0.8962946064826471,-0.11334713782485785
Margins / Profitability,7,3,0.88345510421241,-0.08533164303659703
Margins / Profitability,10,3,0.8727997850773248,-0.06311686470747163
Margins / Profitability,21,3,0.578588717106682,0.37162003620394446
Capital Allocation,1,3,0.19678565982254068,-0.3348310824375474
Capital Allocation,3,3,0.011906313144400603,-0.1546312106470266
Capital Allocation,5,3,-0.954231485079429,0.9017200924460886
Capital Allocation,7,3,-0.9622726691517313,0.9135333802050748
Capital Allocation,10,3,-0.9680946110650066,0.9223673211291625
Capital Allocation,21,3,-0.9818854733205578,0.9988824974049104
Other,1,5,,
Other,3,5,,
Other,5,5,,
Other,7,5,,
Other,10,5,,
Other,21,5,,
