topic,horizon_days,n_events,rho_sentiment_vs_excess_return,rho_risk_intensity_vs_excess_return
Data Center Revenue,1,7,-0.11467599676086704,0.18547926559039846
Data Center Revenue,3,7,-0.4187337914545342,-0.11904560570690778
Data Center Revenue,5,7,-0.09829088176421735,-0.33952530541574394
Data Center Revenue,7,7,-0.017997851825624907,-0.1972574228676932
Data Center Revenue,10,7,0.18415101058760358,-0.1114234033801794
Data Center Revenue,21,7,-0.12905979330010836,-0.41176292308371804
Blackwell Architecture,1,7,0.6060231980468758,-0.472132989579475
Blackwell Architecture,3,7,0.43273253010507756,-0.6274202190621583
Blackwell Architecture,5,7,0.12302857802595772,-0.31749916144034795
Blackwell Architecture,7,7,-0.008683468100754424,-0.23655721415037942
Blackwell Architecture,10,7,0.023932002633940568,-0.18785456767330877
Blackwell Architecture,21,7,0.3570928777327702,-0.4405873677291083
Hopper Architecture,1,3,-0.5443652065352685,-0.9251852035763931
Hopper Architecture,3,3,-0.5617531240861343,-0.9329040703639623
Hopper Architecture,5,3,0.6490044914274113,0.1002155480871003
Hopper Architecture,7,3,0.8678364428005001,0.43040367959797626
Hopper Architecture,10,3,0.24266910685569965,-0.3529993196754322
Hopper Architecture,21,3,0.24667125117235733,-0.34913444327294985
AI Factory Deployments,1,7,0.13311297665976163,0.17420759587732138
AI Factory Deployments,3,7,0.17930719837876583,0.12427321831702678
AI Factory Deployments,5,7,0.007907824397983983,0.09428846307820885
AI Factory Deployments,7,7,-0.07206201140638467,0.19726730667604267
AI Factory Deployments,10,7,0.040165919050596,0.10769685278246255
AI Factory Deployments,21,7,-0.28320055331164945,0.3426091762111526
Sovereign AI Initiatives,1,2,1.0,-0.9999999999999999
Sovereign AI Initiatives,3,2,1.0,-1.0
Sovereign AI Initiatives,5,2,1.0,-1.0
Sovereign AI Initiatives,7,2,1.0,-1.0
Sovereign AI Initiatives,10,2,1.0,-0.9999999999999999
Sovereign AI Initiatives,21,2,1.0,-1.0
Networking Solutions,1,4,0.6543472927988215,-0.9849371783227905
Networking Solutions,3,4,0.8587269156300412,-0.07805630595303155
Networking Solutions,5,4,0.4681951750766579,0.42929224518405085
Networking Solutions,7,4,0.5350277064467431,0.3808814386629053
Networking Solutions,10,4,0.4289143434452487,0.4810380218782648
Networking Solutions,21,4,0.7129700550631244,-0.06394074385967902
Inference Performance,1,4,0.686543859021341,0.8585145934669863
Inference Performance,3,4,0.10937880822562572,0.2620369616960241
Inference Performance,5,4,0.0943173357056423,0.13113051794647243
Inference Performance,7,4,0.004818155004090144,0.05494966516883062
Inference Performance,10,4,-0.02044358057314499,-0.008791715655765421
Inference Performance,21,4,0.4292213247464439,0.497188243528044
Generative AI Applications,1,6,0.6673897949614116,0.036856169717085475
Generative AI Applications,3,6,0.5231156764225662,0.16295439955253951
Generative AI Applications,5,6,0.30970351916474304,0.5295017215669139
Generative AI Applications,7,6,0.3855116831441119,0.5887143002427547
Generative AI Applications,10,6,0.49764595202847817,0.6587196990157982
Generative AI Applications,21,6,0.6186852061202432,0.7983325239517046
Enterprise AI Adoption,1,2,-1.0,
Enterprise AI Adoption,3,2,0.9999999999999998,
Enterprise AI Adoption,5,2,1.0,
Enterprise AI Adoption,7,2,1.0,
Enterprise AI Adoption,10,2,-1.0,
Enterprise AI Adoption,21,2,-1.0,
Margins / Profitability,1,4,-0.8931634036219461,0.9547106164649839
Margins / Profitability,3,4,0.32891962634381144,0.08255395879026863
Margins / Profitability,5,4,0.40964438916573104,-0.19630461083907794
Margins / Profitability,7,4,0.4858594931569752,-0.2395186998421467
Margins / Profitability,10,4,0.1216858562379919,0.04725261464053539
Margins / Profitability,21,4,-0.08516051881307682,0.2894594148637336
Capital Allocation,1,3,-0.9055937150008689,0.6506157264734785
Capital Allocation,3,3,0.3778325025672263,0.03691993134808469
Capital Allocation,5,3,0.023002527099003196,0.3906871153600496
Capital Allocation,7,3,-0.08544388040599109,0.48811672955120533
Capital Allocation,10,3,-0.2415609331423103,0.6196969930572556
Capital Allocation,21,3,-0.46872112941251814,0.7908673284766724
Macro / Demand,1,6,-0.8570850293596693,0.6667107585511961
Macro / Demand,3,6,-0.2175454116783157,0.3122170767838255
Macro / Demand,5,6,-0.28178152326865674,0.34534395953970515
Macro / Demand,7,6,-0.1903487157560381,0.3134534258600454
Macro / Demand,10,6,-0.5399623299938828,0.6451179900039447
Macro / Demand,21,6,-0.637514551461844,0.4808509666417847
Regulation / Geopolitics,1,3,-0.8439331050218609,0.5565892748363487
Regulation / Geopolitics,3,3,-0.9347292135047173,0.37773760579572674
Regulation / Geopolitics,5,3,-0.8591987144130657,-0.49083092123110733
Regulation / Geopolitics,7,3,-0.9044588835145323,0.44818904757685324
Regulation / Geopolitics,10,3,-0.24125385409671843,0.9759833474944214
Regulation / Geopolitics,21,3,-0.9205028168258699,-0.36848546370405344
Other,1,7,,
Other,3,7,,
Other,5,7,,
Other,7,7,,
Other,10,7,,
Other,21,7,,
